City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
182,Waddan,LY,2022-09-13 18:05:39,29.1614,16.139,88.9,29,0,10.51
183,Garowe,SO,2022-09-13 18:05:40,8.4054,48.4845,85.24,44,82,20.33
184,Tiznit,MA,2022-09-13 18:05:40,29.5833,-9.5,75.18,65,45,7.61
185,Grand-Santi,GF,2022-09-13 18:05:40,4.25,-54.3833,98.22,32,6,2.37
186,Santa Isabel Do Rio Negro,BR,2022-09-13 18:05:41,-0.4139,-65.0192,85.33,62,97,0.51
187,Saint-Joseph,RE,2022-09-13 18:05:41,-21.3667,55.6167,73.47,73,57,4.5
188,Sirjan,IR,2022-09-13 18:05:42,29.452,55.6814,79.05,26,58,8.86
189,Kolaras,IN,2022-09-13 18:05:42,25.2333,77.6,75.13,94,74,10.16
190,Aracaju,BR,2022-09-13 18:02:43,-10.9111,-37.0717,82.35,57,40,12.66
191,Hohoe,GH,2022-09-13 18:05:42,7.1518,0.4736,76.73,86,88,1.16
192,Olovo,BA,2022-09-13 18:05:43,44.13,18.5828,62.11,71,21,2.46
193,Catamarca,AR,2022-09-13 18:05:44,-28.4696,-65.7852,79.07,20,3,11.01
194,Mehran,IR,2022-09-13 18:05:44,33.1222,46.1646,98.83,10,0,6.64
195,Eyl,SO,2022-09-13 18:05:44,7.9803,49.8164,77.85,78,96,24.18
196,Ulagan,RU,2022-09-13 18:05:45,50.6321,87.9563,40.84,90,84,1.39
197,Nikki,BJ,2022-09-13 18:05:45,9.9401,3.2108,75.52,87,75,3.6
198,Saint-Denis,FR,2022-09-13 18:04:18,48.9167,2.3333,77.49,65,0,8.05
199,Muros,ES,2022-09-13 18:05:45,42.7762,-9.0603,69.1,88,97,18.77
200,Ostrovnoy,RU,2022-09-13 18:05:46,68.0531,39.5131,48.94,84,95,10.74
201,Roald,NO,2022-09-13 18:05:46,62.5833,6.1333,57.76,76,75,8.05
202,Korla,CN,2022-09-13 18:05:47,41.7597,86.1469,73.35,29,31,5.28
203,Lannion,FR,2022-09-13 18:05:47,48.75,-3.4167,71.55,88,0,9.22
204,Vytegra,RU,2022-09-13 18:05:48,61.0064,36.4481,52.43,74,100,6.29
205,Mbaiki,CF,2022-09-13 18:05:49,3.8678,17.9892,71.13,96,99,2.82
206,Pangnirtung,CA,2022-09-13 18:04:57,66.1451,-65.7125,46.4,93,100,2.3
207,Bojnurd,IR,2022-09-13 18:05:49,37.4747,57.329,71.98,22,0,1.57
208,Savinka,RU,2022-09-13 18:05:52,50.0785,47.0994,64.87,40,100,18.07
209,Baixa Grande,BR,2022-09-13 18:05:53,-11.9597,-40.1681,86.34,37,38,10.74
210,Gurlan,UZ,2022-09-13 18:05:53,41.8447,60.3919,59.07,22,0,10.58
211,Bronnoysund,NO,2022-09-13 18:05:53,65.4625,12.1997,55.4,88,75,8.05
212,Sechura,PE,2022-09-13 18:05:54,-5.5569,-80.8222,76.05,55,32,13.71
213,Paita,PE,2022-09-13 18:05:55,-5.0892,-81.1144,70.41,68,33,17.16
214,Upernavik,GL,2022-09-13 18:05:55,72.7868,-56.1549,41.38,92,100,5.21
215,Turkmenabat,TM,2022-09-13 18:05:56,39.0733,63.5786,69.67,19,0,8.43
216,Novopetrovskoye,RU,2022-09-13 18:05:56,55.9928,36.4719,50.38,64,100,8.37
217,Tunceli,TR,2022-09-13 18:05:56,39.1083,39.5471,64.83,72,52,5.64
218,Kristiinankaupunki,FI,2022-09-13 18:05:57,62.2743,21.376,53.56,82,100,16.04
219,Barbatesti,RO,2022-09-13 18:05:57,45.1833,24.1167,52.97,67,75,5.95
220,Scarborough,GB,2022-09-13 18:05:58,54.2797,-0.4044,60.37,78,57,3.0
221,Saint-Pierre,RE,2022-09-13 18:05:58,-21.3393,55.4781,74.57,64,0,6.91
222,Raigarh,IN,2022-09-13 18:05:58,21.9,83.4,76.55,93,99,4.38
223,Staryy Nadym,RU,2022-09-13 18:05:59,65.6118,72.6842,43.54,91,100,6.55
224,Greenville,US,2022-09-13 18:05:59,35.6127,-77.3663,86.02,66,75,3.44
225,Radford,US,2022-09-13 18:06:00,37.1318,-80.5764,75.2,56,40,14.97
226,Igualada,ES,2022-09-13 18:06:00,41.581,1.6172,79.63,85,100,3.0
227,La Macarena,CO,2022-09-13 18:07:00,2.1837,-73.7849,92.59,42,52,4.54
228,Domoni,KM,2022-09-13 18:07:01,-12.2569,44.5319,74.55,79,33,1.14
229,Manaquiri,BR,2022-09-13 18:07:01,-3.3167,-60.35,88.29,35,74,3.51
230,Kabakovo,RU,2022-09-13 18:07:02,54.5369,56.1517,46.22,93,0,2.24
231,Margate,GB,2022-09-13 18:04:47,51.3813,1.3862,64.31,83,100,5.99
232,Bandarbeyla,SO,2022-09-13 18:07:02,9.4942,50.8122,77.47,86,100,30.02
233,La Rioja,ES,2022-09-13 18:07:03,42.25,-2.5,69.58,48,78,7.2
234,Salym,RU,2022-09-13 18:07:04,60.0625,71.4789,46.4,80,100,6.17
235,Sao Filipe,CV,2022-09-13 18:07:04,14.8961,-24.4956,79.02,83,100,5.01
236,Port-Gentil,GA,2022-09-13 18:07:05,-0.7193,8.7815,78.76,78,40,11.5
237,Kozlovka,RU,2022-09-13 18:07:05,55.8428,48.2492,49.82,60,96,6.49
238,Visby,SE,2022-09-13 18:07:05,57.6409,18.296,59.05,87,0,6.91
239,Sompeta,IN,2022-09-13 18:07:06,18.9333,84.6,81.61,85,100,14.43
240,Sao Jose Da Coroa Grande,BR,2022-09-13 18:07:06,-8.8978,-35.1478,79.0,72,24,9.82
241,Atasu,KZ,2022-09-13 18:07:07,48.6814,71.6433,50.18,40,45,10.4
242,Manoel Urbano,BR,2022-09-13 18:07:07,-8.8389,-69.2597,98.17,30,31,4.29
243,Grand Gaube,MU,2022-09-13 18:07:07,-20.0064,57.6608,71.38,74,35,3.0
244,Caravelas,BR,2022-09-13 18:07:08,-17.7125,-39.2481,79.63,58,7,10.6
245,Musoma,TZ,2022-09-13 18:07:08,-1.5,33.8,73.22,70,94,5.91
246,Chipata,ZM,2022-09-13 18:07:09,-13.6333,32.65,74.34,29,63,6.8
247,Tricase,IT,2022-09-13 18:07:10,39.9304,18.3553,75.31,46,0,12.75
248,Oistins,BB,2022-09-13 18:07:10,13.0667,-59.5333,87.89,70,20,13.8
249,Suhut,TR,2022-09-13 18:07:10,38.5311,30.5458,60.03,51,2,13.76
250,Marzuq,YE,2022-09-13 18:07:11,14.4,46.4667,79.99,46,96,6.49
